S28000091,1,2,5,12,9,1,2,3,3,1,1,3,31,117,84,54,21,3,4,15,2,1,3,1,1,11,13,15,5,1,9,3,5,3,3,4,10,15,22,21,9,7,9,6,6,2,1,0,0,3,5,5,3,6,1,0,0,1,1,0,56,123,49,42,12,2,1,4,4,1,2,1,1,2,6,2,5,0,1,2,4,1,0,1,3,3,17,8,9,5,10,3,1,1,4,7
S28000092,2,2,12,43,21,16,11,7,7,3,4,6,59,85,97,86,40,27,14,12,18,15,8,11,4,4,10,19,16,13,10,13,12,7,6,13,12,11,20,20,13,16,19,11,25,15,26,13,2,4,22,25,15,6,4,6,11,2,4,0,57,98,96,75,22,24,15,8,26,14,13,9,7,4,10,19,4,2,6,6,4,8,5,1,8,9,26,26,12,18,14,13,15,17,23,34
S28000093,2,3,13,46,42,8,8,7,5,4,1,2,34,97,86,78,50,22,13,8,11,3,8,5,3,3,11,21,8,9,5,8,7,3,2,1,7,6,16,16,9,5,9,9,7,6,6,4,1,2,22,45,22,10,4,5,3,4,1,0,50,72,73,59,35,19,16,10,13,6,3,6,4,0,8,8,4,2,7,7,1,2,0,3,7,5,17,11,6,8,10,12,9,5,2,2
S28000094,2,1,32,40,35,17,14,6,15,3,9,7,82,203,178,115,31,10,11,5,13,11,12,6,3,2,15,9,5,8,10,5,7,4,7,9,7,6,26,41,6,5,8,5,5,8,4,6,5,4,20,51,29,17,12,12,10,13,8,5,129,388,232,92,25,14,8,11,18,7,13,11,1,2,8,12,6,3,3,6,3,2,2,5,5,17,24,20,10,10,8,8,12,7,8,16
S28000095,2,4,14,41,32,14,9,5,5,5,5,12,79,215,176,157,69,24,9,23,17,9,4,3,8,7,12,34,15,17,16,12,18,13,13,17,20,17,31,53,36,30,40,37,23,15,20,15,0,3,27,43,21,9,8,3,3,5,2,4,109,273,164,113,23,31,17,23,16,13,9,13,6,4,10,22,10,5,9,7,12,6,5,5,33,19,25,44,21,26,19,39,34,15,15,27
S28000104,55,16,63,121,118,99,111,109,105,85,89,159,92,251,266,171,103,55,59,81,105,56,54,61,22,11,30,25,23,24,33,29,45,37,33,45,19,19,46,60,23,23,18,32,25,30,43,37,50,18,70,129,128,90,101,127,97,101,75,33,154,330,261,152,90,55,70,103,116,66,199,76,13,7,23,22,21,12,30,28,36,34,19,28,25,33,35,37,30,15,27,33,32,27,32,72
S28000105,11,12,26,88,75,26,36,33,24,24,34,90,93,118,168,142,99,58,56,83,78,69,69,65,32,26,38,64,46,50,62,68,75,75,54,100,68,18,57,78,54,62,60,97,77,66,82,69,18,3,29,91,56,33,34,34,35,27,28,8,64,118,162,152,82,78,71,104,106,99,202,63,36,19,40,46,39,35,47,56,76,52,42,39,54,29,55,78,63,47,72,89,91,80,78,187
S28000106,11,7,9,29,25,18,18,21,14,10,11,31,43,22,33,71,44,44,63,70,48,37,36,55,30,20,28,41,36,57,61,60,57,40,60,90,74,32,50,88,67,114,111,103,97,76,89,79,9,8,10,39,24,23,22,23,18,10,7,4,51,25,49,91,66,71,68,86,69,61,86,49,33,18,29,28,43,46,53,54,35,34,36,27,91,47,65,88,99,82,123,120,115,80,104,166
S28000107,15,8,12,43,43,37,40,43,21,22,27,81,69,49,78,136,117,81,92,86,99,76,55,73,46,27,46,106,70,80,96,109,125,92,86,147,99,44,78,133,93,105,109,125,168,108,100,117,18,6,23,55,50,26,37,40,37,21,21,15,79,48,99,196,144,118,112,133,138,97,167,84,55,21,50,73,69,56,77,113,98,64,71,36,118,62,99,192,133,143,120,171,166,91,142,229
S28000108,28,7,12,18,15,50,47,58,52,49,26,74,28,10,10,15,16,41,41,52,47,54,54,45,21,6,13,10,17,18,18,35,45,28,30,34,8,5,4,13,3,4,5,24,13,13,18,26,21,11,14,9,33,41,62,62,46,39,34,14,31,7,20,13,16,42,75,55,57,58,107,57,10,10,20,12,14,23,22,38,33,22,25,23,14,3,10,11,7,7,16,22,12,18,25,47
